conversation_id,user_id,cluster_membership
c3124,user573,0
c5851,user1068,1
c3,user6,2
c231,user57,3
c2203,user413,4
c2063,user388,5
c3377,user629,6
c5119,user953,7
c5047,user948,8
c3,user6,9
c5615,user1043,10
c939,user170,11
c3970,user728,12
c3970,user728,13
c3746,user691,14
c3611,user683,15
c2574,user479,16
c524,user83,17
c656,user133,18
c7089,user1307,19
c5408,user992,20
c1996,user373,21
c2965,user550,22
c29,user3,23
c863,user137,24
c5766,user1050,25
c5152,user965,26
c2156,user402,27
c864,user138,28
c864,user138,29
c2644,user136,30
c6193,user1152,31
c3746,user691,32
c2644,user136,33
c6968,user1292,34
c5152,user965,35
c769,user130,36
c967,user178,37
c967,user178,37
c7856,user1477,38
c3759,user697,39
c3226,user615,40
c6177,user1151,41
c7200,user1329,42
c6177,user1151,43
c5806,user1072,44
c7131,user1316,45
c5888,user1100,46
c5888,user1100,47
c4786,user874,48
c7841,user1404,49
c7199,user1338,50
c3326,user632,51
c5970,user1103,52
c6363,user1181,53
c3746,user691,54
c3746,user691,55
c4151,user764,56
c3329,user602,57
c2781,user518,58
c3611,user683,59
c5408,user992,60
c2781,user518,61
c4727,user855,62
c5408,user992,63
c6591,user1266,64
c987,user186,65
c5049,user936,66
c2837,user533,67
c1549,user268,68
c2634,user489,69
c2965,user550,70
c4256,user776,71
c2868,user541,72
c7374,user1356,73
c2965,user550,74
c2965,user550,75
c2965,user550,76
c4127,user769,77
c4180,user764,78
c2124,user393,79
c2781,user518,80
c2781,user518,81
c2781,user518,82
c2166,user403,83
c2644,user136,84
c2644,user136,84
c6830,user1270,85
c3611,user683,86
c2406,user464,87
c3746,user691,88
c3746,user691,89
c7401,user1415,90
c7401,user1415,91
c2634,user489,92
c2669,user496,93
c2669,user496,93
c6687,user1247,94
c3175,user592,95
c3175,user592,96
c3175,user592,97
c3581,user674,98
c284,user37,99
c284,user37,100
c630,user111,101
c1723,user326,102
c107,user17,103
c3551,user669,104
c3551,user669,105
c5934,user1101,106
c2781,user518,107
c6177,user1151,108
c2363,user455,109
c2363,user455,110
c2644,user136,111
c3299,user617,112
c3299,user617,113
c3746,user691,114
c967,user178,115
c878,user145,116
c6478,user1204,117
c1738,user325,118
c6686,user1190,119
c986,user183,120
c988,user194,121
c2306,user430,122
c736,user130,123
c7373,user1372,124
c3810,user706,125
c2794,user530,126
c3208,user621,127
c2644,user136,128
c3042,user557,129
c4423,user807,130
c7923,user1489,131
c5888,user1100,132
c3746,user691,133
c2017,user364,134
c3998,user748,135
c6145,user1142,136
c6145,user1142,137
c7927,user1206,138
c2380,user441,139
c6313,user1173,140
c4533,user829,141
c7386,user1364,142
c2017,user364,143
c2017,user364,144
c4599,user847,145
c4000,user728,146
c6655,user1202,147
c2826,user533,148
c2826,user533,149
c2156,user402,150
c2156,user402,151
c3975,user738,152
c5662,user1095,153
c5662,user1095,153
c5662,user1095,154
c1667,user309,155
c2916,user536,156
c2626,user491,157
c2626,user491,157
c6140,user1140,158
c502,user89,159
c1468,user268,160
c2644,user136,161
c2644,user136,162
c2644,user136,163
c2644,user136,163
c3210,user604,164
c2644,user136,165
c2401,user453,166
c1005,user186,167
c6177,user1151,168
c3746,user691,169
c2017,user364,170
c2017,user364,171
c5552,user1038,172
c5552,user1038,172
c5408,user992,173
c7454,user1434,174
c7739,user1401,175
c2781,user518,176
c6066,user1127,177
c1643,user310,178
c3638,user680,179
c3566,user664,180
c2713,user507,181
c6122,user1130,182
c7551,user1400,183
c1470,user301,184
c5756,user1067,185
c5756,user1067,186
c6008,user1117,187
c6496,user1226,188
c241,user64,189
c1033,user181,190
c7454,user1434,191
c2240,user420,192
c3294,user600,193
c1166,user222,194
c5058,user995,195
c5058,user995,195
c5058,user995,196
c6530,user1248,197
c4496,user822,198
c6084,user1124,199
c5834,user1090,200
c5898,user1100,201
c2490,user465,202
c1973,user375,203
c1973,user375,204
c1973,user375,205
c1973,user375,206
c4909,user874,207
c2913,user541,208
c4829,user898,209
c2771,user525,210
c1838,user350,211
c3101,user581,212
c3832,user708,213
c7973,user1493,214
c2707,user507,215
c2707,user507,216
c2707,user507,217
c294,user1017,218
c4688,user848,219
c7725,user1468,220
c3992,user743,221
c1965,user370,222
c3728,user705,223
c4971,user918,201
c3731,user672,201
c3386,user609,201
c2463,user457,201
c1276,user246,224
c2289,user427,210
c7667,user1462,225
c2767,user519,226
c7007,user1481,227
c6938,user1285,228
c4509,user807,229
c5486,user1023,230
c5310,user961,231
c3769,user665,232
c608,user117,233
c169,user16,234
c7044,user1288,235
c4203,user768,236
c3788,user698,237
c4917,user904,238
c3882,user720,239
c4407,user809,240
c275,user65,241
c4528,user836,242
c2769,user544,243
c2769,user544,244
c7744,user1388,245
c7744,user1388,245
c7744,user1388,245
c2769,user544,246
c2769,user544,247
c2769,user544,247
c396,user85,248
c4675,user871,249
c5078,user916,250
c7456,user1415,251
c6601,user1250,252
c4715,user871,253
c4715,user871,254
c5533,user1033,255
c6170,user1146,256
c6764,user1207,257
c6764,user1207,258
c2299,user429,259
c2380,user441,260
c6571,user1249,261
c6948,user1227,262
c4032,user738,263
c56,user14,264
c20,user7,265
c4334,user790,266
c2006,user377,267
c722,user144,268
c722,user144,269
c1704,user319,270
c3565,user656,271
c6599,user1235,272
c2222,user414,273
c4329,user798,274
c6601,user1250,275
c6836,user1279,276
c3508,user651,277
c3420,user626,278
c4896,user911,279
c1715,user1024,280
c3114,user586,281
c7501,user1439,282
c7952,user1495,283
c5865,user1098,284
c3410,user641,285
c4959,user917,286
c4805,user911,287
c7561,user1453,288
c1494,user272,289
c6778,user1221,290
c3435,user620,291
c4899,user1086,292
c5107,user927,293
c5488,user1023,294
c4308,user786,295
c2316,user431,296
c1550,user291,297
c4576,user853,298
c6804,user1278,299
c1699,user324,300
c5023,user937,301
c98,user30,302
c1565,user291,303
c4948,user906,304
c690,user137,305
c2200,user413,306
c6503,user1224,307
c7159,user1320,308
c3259,user608,309
c6188,user1144,310
c2400,user455,311
c5410,user1008,312
c2386,user464,313
c3042,user557,314
c3843,user707,315
c6846,user1278,316
c3530,user656,317
c3431,user598,318
c7721,user1410,319
c2904,user537,320
c4839,user900,321
c4325,user788,322
c2461,user451,323
c2906,user540,324
c3771,user701,325
c5180,user968,326
c2754,user522,327
c4064,user747,328
c1091,user192,329
c4962,user917,330
c7822,user1474,331
c3294,user600,332
c5488,user1023,333
c2910,user523,334
c7309,user1358,335
c3478,user630,336
c5716,user1074,337
c5544,user1034,338
c6981,user1481,339
c1947,user365,340
c997,user181,341
c997,user181,342
c608,user117,343
c3935,user723,344
c6937,user1283,345
c714,user112,346
c2769,user544,347
c3717,user697,348
c1784,user336,349
c685,user114,350
c228,user41,351
c4388,user805,352
c4102,user752,353
c997,user181,354
c4583,user844,355
c5114,user981,356
c3067,user575,357
c3411,user646,358
c5479,user1023,359
c5196,user930,360
c4029,user734,361
c6926,user1280,362
c5758,user1074,363
c3638,user680,364
c3182,user605,365
c1510,user268,366
c5126,user968,367
c1482,user288,368
c2999,user557,368
c1945,user373,368
c2886,user530,368
c7405,user1396,368
c3064,user581,368
c7637,user1479,368
c1893,user335,368
c6421,user1197,368
c6483,user1206,368
c2968,user550,368
c4240,user762,368
c3986,user729,368
c2536,user469,368
c6066,user1127,368
c1624,user257,368
c6550,user1242,368
c719,user149,368
c2536,user469,368
c3636,user669,368
c7162,user1318,368
c325,user69,368
c2536,user469,368
c663,user122,368
c5097,user972,368
c1605,user294,368
c6835,user1250,368
c5369,user1010,369
c175,user50,370
c6134,user1138,371
c1810,user336,372
c73,user13,373
c832,user145,374
c5413,user928,375
c4663,user872,376
c3885,user725,377
c382,user80,378
c2124,user393,379
c4344,user803,380
c5725,user1053,381
c3711,user665,382
c7391,user1386,383
c2666,user496,384
c4344,user803,385
c7961,user1442,386
c325,user69,387
c6282,user1175,388
c7656,user1454,389
c1028,user193,390
c3628,user673,391
c4128,user751,392
c1550,user291,393
c1069,user181,394
c5738,user1068,395
c813,user144,396
c2509,user458,397
c2509,user458,398
c2509,user458,398
c1615,user301,399
c4962,user917,400
c3278,user602,401
c6331,user418,402
c2522,user476,403
c1559,user292,404
c2076,user391,405
c98,user30,406
c3024,user557,407
c426,user88,408
c3633,user690,409
c6907,user1211,410
c2842,user544,411
c1668,user310,412
c5551,user1040,413
c1530,user283,414
c2732,user501,415
c4702,user844,416
c3999,user741,417
c5000,user927,418
c3372,user616,419
c6528,user1188,420
c3580,user685,421
c3580,user685,422
c4514,user842,423
c1439,user258,424
c7394,user1385,425
c1598,user297,426
c5450,user1019,427
c6969,user1287,428
c6523,user1193,429
c7836,user1475,430
c5551,user1040,431
c4049,user740,432
c3772,user693,433
c761,user140,434
c4245,user766,435
c5085,user969,436
c918,user169,437
c7147,user1321,438
c1188,user213,439
c5637,user1058,440
c5812,user1079,441
c6959,user1289,442
c6886,user1250,443
c437,user68,444
c7307,user1364,445
c2182,user409,446
c1765,user327,447
c2915,user537,448
c2386,user464,449
c558,user107,450
c324,user65,451
c3502,user651,452
c16,user7,453
c7657,user1463,454
c4140,user759,455
c2901,user536,456
c65,user11,457
c5022,user914,458
c3312,user593,459
c2204,user413,460
c1295,user248,461
c1599,user293,462
c4344,user803,463
c6702,user1207,464
c4070,user731,465
c5456,user1019,466
c5938,user1165,467
c4287,user790,468
c4116,user756,469
c2014,user380,470
c5077,user955,471
c3153,user589,472
c2902,user534,473
c1738,user325,474
c309,user67,475
c4050,user749,476
c6331,user418,477
c5556,user1037,478
c12,user7,479
c813,user144,480
c4138,user756,481
c617,user122,482
c2475,user476,483
c16,user7,484
c2732,user501,485
c1173,user193,486
c6825,user1255,487
c6469,user1212,488
c5721,user1057,489
c3666,user669,490
c3661,user689,491
c4411,user805,492
